P.U.P.S,Nagar Extension Gomti Nagar,Behind CMS Gomti Nagar,9725786823,4.4,97,10:00 am - 9:00 pm,226010,https://images.jdmagicbox.com/comp/lucknow/r7/0522px522.x522.210201154744.h9r7/catalogue/p-u-p-s-gomti-nagar-lucknow-veterinary-clinics-f87zz6heeh-250.jpg?clr=#523314
K K Pet Clinic & Pet Shop,Sitapur Road Sitapur Rd Lucknow,Near J J Market Sitapur Rd Lucknow,8147708447,4.9,31,Open 24 Hrs,226021,https://images.jdmagicbox.com/comp/lucknow/q9/0522px522.x522.231222144304.e7q9/catalogue/k-k-pet-clinic-and-pet-shop-sitapur-rd-lucknow-lucknow-pet-clinics-vir5ulh13s-250.jpg
Gurmeet Pet Shop,72 Saudagar Mohal Sadar Bazar,Near Police Station Sadar Bazar,7383619355,3.8,270,8:00 am - 10:30 pm,226002,https://images.jdmagicbox.com/comp/lucknow/v8/0522px522.x522.180511081517.s8v8/catalogue/gurmeet-pet-shop-sadar-bazar-lucknow-pet-shops-for-dog-eaoyx92b0s-250.jpg
The Pet Vet Clinic & Surgical Center,Geetapalli Alambagh,ECO GARDEN Near Tulsi Park Road Alambagh,8460662650,4.8,141,Open 24 Hrs,226005,https://images.jdmagicbox.com/comp/lucknow/i6/0522px522.x522.181113181023.z5i6/catalogue/the-pet-vet-clinic-and-surgical-center-alambagh-lucknow-pet-vaccination-services-bdhr7fthdo-250.jpg
Bhola Pet's Hospital,Hardoi Ring Raod Rajaji Puram,Near Raj Estate and Aarogya Hospital Rajaji Puram,7411791132,4.3,96,Open 24 Hrs,226017,https://images.jdmagicbox.com/comp/lucknow/n4/0522px522.x522.180716170633.s5n4/catalogue/bhola-shola-pet-shop-pet-care-rajaji-puram-lucknow-pet-shops-0paa87xfsn-250.jpg
Ganga Pet Clinic,Road Sector D1 Ashiyana Road,Opposite Mataji Bagiya Ashiyana Ashiyana Road,8401865609,4.8,84,Open 24 Hrs,226012,https://images.jdmagicbox.com/comp/lucknow/u3/0522px522.x522.220723124441.j9u3/catalogue/ganga-pet-clinic-ashiyana-road-lucknow-veterinary-doctors-zhu5aeqpra-250.jpg
RR PET CLINIC,Kissan Bazaar Gomti Nagar,Opposite Cinepolis Mall Gomti Nagar,8460525659,4.9,34,Open 24 Hrs,226010,https://images.jdmagicbox.com/comp/lucknow/a5/0522px522.x522.240316124817.u1a5/catalogue/rriq76pfix81paf-23zzozvbaz-250.jpg
Prabhat Pet Hospital,Gomti Nagar,Near The Grand Jbr Gomti Nagar,9054562574,4.3,624,10:00 am - 4:00 pm,226010,https://images.jdmagicbox.com/comp/lucknow/v8/0522px522.x522.130810164327.f2v8/catalogue/prabhat-pet-hospital-gomti-nagar-lucknow-veterinary-clinics-icmyzbgbgp-250.jpg
Abhishek Medicals and Pet Shop,Faizabad Road Daliganj,Oposite Fisheries Directorate Daliganj,7383418413,4.3,47,9:00 am - 10:00 pm,226020,https://images.jdmagicbox.com/comp/lucknow/u1/0522px522.x522.190312170643.a2u1/catalogue/abhishek-medicals-and-pet-shop-daliganj-lucknow-pet-shops-lly295fa6f-250.jpg
Dog & Cat Care Center,Lucknow Lajpat Nagar,Opposite Clock Tower Chawk Lajpat Nagar,9035066132,4.2,344,Open 24 Hrs,226003,https://images.jdmagicbox.com/comp/lucknow/p8/0522px522.x522.170710174827.w6p8/catalogue/dog-cat-care-center-lucknow-pl4wvm9oxs-250.jpg
Dr. Vikas Kanoujiya,23A Rajnishpuram Aliganj,Near Maharishi University Aliganj,9724917048,4,3,10:00 am - 9:00 pm,226020,https://images.jdmagicbox.com/comp/lucknow/d6/0522px522.x522.200115150408.v6d6/catalogue/dr-vikas-kanoujiya-aliganj-lucknow-veterinary-clinics-1eupljfotc-250.jpg?clr=#1d3e49
